date,nino1+2,nino1+2 anom,year,season,ESOI 3m mean,SAM 3m mean,TNI 3m mean,IODW anom 3m mean,IODW 3m mean,IODE anom 3m mean,IODE 3m mean,DMI anom 3m mean,DMI 3m mean,SOI 3m mean,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,TNI,nino3.4 anom 3m mean,nino3.4 3m mean,nino4 anom 3m mean,nino4 3m mean,nino3 anom 3m mean,nino3 3m mean,nino1+2 anom 3m mean,nino1+2 3m mean,nino3,nino3 anom,nino4,nino4 anom,nino3.4,nino3.4 anom,date,SOI,SOI 3m mean,IODE,IODW,IODE anom,IODW anom,DMI,DMI anom,SAM,ESOI,idck_AR,idck_AR-W,idck_AR-N,idck_AR-E,idck_AR-NW,AR,AR-W,AR-NW,AR-N,AR-E,SPO,SPO-W,SPO-E
2001-05-01,23.71,-0.71,2001,2,0.5333333333333334,0.16066666666666726,-0.44333333333333363,-0.013333333333333372,29.483333333333334,-0.04333333333333348,29.403333333333332,0.029999999999999933,0.0800000000000005,-0.6666666666666524,-0.43666666666666726,27.24333333333333,-0.5633333333333334,28.06,-0.09000000000000012,27.256666666666664,-0.11999999999999993,25.363333333333333,0.31999999999999995,-0.43666666666666726,27.24333333333333,-0.5633333333333334,28.06,-0.09000000000000012,27.256666666666664,-0.11999999999999993,25.363333333333333,27.11,-0.14,28.53,-0.39,27.6,-0.34,200105.0,-9.0,-0.6666666666666524,29.9,29.49,0.3,-0.13,-0.41,-0.43,0.389,0.4,,,,,,8.0,7.0,8.0,5.0,1.0,6.0,3.0,5.0
2001-06-01,22.28,-0.85,2001,3,0.3000000000000001,0.23133333333333395,0.07666666666666633,-0.09333333333333338,29.2,0.08999999999999986,29.563333333333333,-0.18333333333333343,-0.36333333333333284,-2.2999999999999856,-0.3400000000000006,27.49,-0.3833333333333333,28.453333333333333,-0.18000000000000013,26.97,-0.45999999999999996,23.903333333333336,0.6799999999999999,-0.3400000000000006,27.49,-0.3833333333333333,28.453333333333333,-0.18000000000000013,26.97,-0.45999999999999996,23.903333333333336,26.34,-0.28,28.79,-0.17,27.54,-0.19,200106.0,1.8,-2.2999999999999856,29.36,28.44,0.08,-0.02,-0.92,-0.1,0.397,0.3,,,,,,8.0,7.0,8.0,5.0,1.0,6.0,3.0,5.0
2001-07-01,21.38,-0.58,2001,3,0.4333333333333334,0.08200000000000059,0.5566666666666663,-0.0766666666666667,28.483333333333334,0.26999999999999985,29.5,-0.34666666666666673,-1.016666666666666,-3.633333333333319,-0.1900000000000006,27.463333333333335,-0.15666666666666668,28.76666666666667,-0.23000000000000012,26.326666666666668,-0.7133333333333333,22.456666666666667,0.6699999999999999,-0.1900000000000006,27.463333333333335,-0.15666666666666668,28.76666666666667,-0.23000000000000012,26.326666666666668,-0.7133333333333333,22.456666666666667,25.53,-0.27,28.98,0.09,27.25,-0.04,200107.0,-3.7,-3.633333333333319,29.24,27.52,0.43,-0.08,-1.72,-0.51,-0.54,0.6,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2001-08-01,20.16,-0.84,2001,3,0.4333333333333334,-0.33499999999999935,0.7466666666666665,-0.06000000000000003,27.763333333333335,0.2999999999999998,29.123333333333335,-0.3600000000000001,-1.3599999999999994,-3.3666666666666525,-0.09333333333333393,27.19666666666667,-0.010000000000000004,28.87,-0.25666666666666677,25.59,-0.7566666666666665,21.273333333333333,0.89,-0.09333333333333393,27.19666666666667,-0.010000000000000004,28.87,-0.25666666666666677,25.59,-0.7566666666666665,21.273333333333333,24.9,-0.22,28.84,0.05,26.8,-0.05,200108.0,-8.2,-3.3666666666666525,28.77,27.33,0.39,-0.08,-1.44,-0.47,-0.862,0.4,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2001-09-01,19.6,-1.13,2001,4,0.5666666666666668,-0.16133333333333275,0.9666666666666662,-0.04666666666666671,27.52,0.3766666666666665,28.830000000000002,-0.4233333333333334,-1.3099999999999994,-3.499999999999986,-0.09666666666666728,26.856666666666666,0.11666666666666665,28.929999999999996,-0.3600000000000001,24.91333333333333,-0.8499999999999998,20.38,1.3399999999999999,-0.09666666666666728,26.856666666666666,0.11666666666666665,28.929999999999996,-0.3600000000000001,24.91333333333333,-0.8499999999999998,20.38,24.31,-0.59,28.97,0.21,26.52,-0.2,200109.0,1.4,-3.499999999999986,28.48,27.71,0.31,0.02,-0.77,-0.29,0.918,0.7,9.0,5.0,2.0,3.0,2.0,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2001-10-01,19.88,-1.13,2001,4,0.5333333333333334,0.44066666666666726,1.183333333333333,-0.07333333333333338,27.69666666666667,0.30666666666666653,28.596666666666664,-0.38000000000000006,-0.9033333333333328,-2.8999999999999857,-0.1300000000000006,26.63,0.15,28.919999999999998,-0.4133333333333334,24.586666666666662,-1.0333333333333332,19.88,1.3199999999999998,-0.1300000000000006,26.63,0.15,28.919999999999998,-0.4133333333333334,24.586666666666662,-1.0333333333333332,19.88,24.55,-0.43,28.95,0.19,26.57,-0.14,200110.0,-1.9,-2.8999999999999857,28.54,28.05,0.22,-0.16,-0.5,-0.38,1.266,0.5,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2001-11-01,20.77,-0.89,2001,4,0.6333333333333334,0.783333333333334,1.2099999999999997,-0.06333333333333337,28.060000000000002,0.1533333333333332,28.523333333333337,-0.21666666666666676,-0.46666666666666606,2.2333333333333476,-0.23666666666666725,26.473333333333333,0.16,28.899999999999995,-0.5666666666666668,24.426666666666666,-1.0499999999999998,20.083333333333332,0.97,-0.23666666666666725,26.473333333333333,0.16,28.899999999999995,-0.5666666666666668,24.426666666666666,-1.0499999999999998,20.083333333333332,24.42,-0.68,28.78,0.08,26.33,-0.37,200111.0,7.2,2.2333333333333476,28.55,28.42,-0.07,-0.05,-0.13,0.02,0.166,0.7,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2001-12-01,21.79,-1.02,2001,1,7.401486830834377e-17,0.511333333333334,1.143333333333333,0.006666666666666626,28.34,0.1466666666666665,28.703333333333333,-0.14000000000000007,-0.3666666666666661,-1.2666666666666522,-0.30666666666666725,26.363333333333333,0.12999999999999998,28.796666666666667,-0.5766666666666668,24.526666666666667,-1.0133333333333332,20.813333333333333,1.1400000000000001,-0.30666666666666725,26.363333333333333,0.12999999999999998,28.796666666666667,-0.5766666666666668,24.526666666666667,-1.0133333333333332,20.813333333333333,24.61,-0.62,28.66,0.12,26.19,-0.41,200112.0,-9.1,-1.2666666666666522,29.02,28.55,0.29,0.23,-0.47,-0.06,0.102,-1.2,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2002-01-01,23.79,-0.78,2002,1,-0.09999999999999988,-0.4203333333333327,1.0966666666666665,0.10333333333333329,28.393333333333334,0.18333333333333315,28.913333333333338,-0.08000000000000007,-0.5199999999999995,0.2666666666666811,-0.31000000000000055,26.30333333333333,0.19999999999999998,28.72,-0.5966666666666668,24.733333333333334,-0.8966666666666665,22.116666666666664,1.1800000000000002,-0.31000000000000055,26.30333333333333,0.19999999999999998,28.72,-0.5966666666666668,24.733333333333334,-0.8966666666666665,22.116666666666664,25.17,-0.49,28.72,0.4,26.39,-0.15,200201.0,2.7,0.2666666666666811,29.17,28.21,0.33,0.13,-0.96,-0.2,-1.529,0.2,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
2002-02-01,26.03,-0.07,2002,1,-0.4666666666666665,-0.6496666666666661,0.9499999999999998,0.04999999999999996,28.286666666666665,0.17333333333333314,28.99666666666667,-0.1233333333333334,-0.7066666666666661,0.4333333333333478,-0.2000000000000006,26.430000000000003,0.32666666666666666,28.679999999999996,-0.4500000000000002,25.313333333333333,-0.6233333333333332,23.87,0.53,-0.2000000000000006,26.430000000000003,0.32666666666666666,28.679999999999996,-0.4500000000000002,25.313333333333333,-0.6233333333333332,23.87,26.16,-0.24,28.66,0.46,26.71,-0.04,200202.0,7.7,0.4333333333333478,28.8,28.1,-0.1,-0.21,-0.69,-0.11,-0.522,-0.4,,,,,,10.0,6.0,3.0,3.0,2.0,5.0,3.0,4.0
