1977  6   -17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7	-17.7
1977  7   -14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7	-14.7
1977  8   -12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1	-12.1
1977  9   -9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4	-9.4
1977 10   -12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9
1977 11   -14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6	-14.6
1977 12   -10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6	-10.6
1978  1   -3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0
1978  2   -24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4	-24.4
1978  3   -5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8
1978  4   -7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9	-7.9
1978  5   16.3	16.3	16.3	16.3	16.3	16.3	16.3	16.3	16.3	16.3	16.3	16.3
1978  6   5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8
1978  7   6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1	6.1
1978  8   1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4
1978  9   0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
1978 10   -6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2	-6.2
1978 11   -2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
1978 12   -0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9
1979  1   -4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0	-4.0
1979  2   6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7
1979  3   -3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0	-3.0
1979  4   -5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5
1979  5   3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6	3.6
1979  6   5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8
1979  7   -8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2
1979  8   -5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0
1979  9   1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4
1979 10   -2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5	-2.5
1979 11   -4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7
1979 12   -7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5	-7.5
1980  1   3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2	3.2
1980  2   1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
1980  3   -8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5	-8.5
1980  4   -12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9	-12.9
1980  5   -3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5
1980  6   -4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7	-4.7
1980  7   -1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7	-1.7
1980  8   1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4
1980  9   -5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2	-5.2
1980 10   -1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9	-1.9
1980 11   -3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4	-3.4
1980 12   -0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9	-0.9
1981  1   2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7
1981  2   -3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2	-3.2
1981  3   -16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6	-16.6
1981  4   -5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5	-5.5
1981  5   7.6	7.6	7.6	7.6	7.6	7.6	7.6	7.6	7.6	7.6	7.6	7.6
1981  6   11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5	11.5
1981  7   9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1981  8   5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9	5.9
1981  9   7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5	7.5
1981 10   -5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0
1981 11   2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6	2.6
1981 12   4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7
1982  1   9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4	9.4
1982  2   0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6
1982  3   2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4
1982  4   -3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8	-3.8
1982  5   -8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2	-8.2
1982  6   -20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1	-20.1
1982  7   -19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3	-19.3
1982  8   -23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6	-23.6
1982  9   -21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4	-21.4
1982 10   -20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2	-20.2
1982 11   -31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1	-31.1
1982 12   -21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3	-21.3
1983  1   -30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6	-30.6
1983  2   -33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3	-33.3
1983  3   -28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0	-28.0
1983  4   -17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0	-17.0
1983  5   6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
1983  6   -3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1	-3.1
1983  7   -7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6	-7.6
1983  8   0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1983  9   9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9	9.9
1983 10   4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2
1983 11   -0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7	-0.7
1983 12   0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
1984  1   1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3	1.3
1984  2   5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8	5.8
1984  3   -5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8	-5.8
1984  4   2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1984  5   -0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3	-0.3
1984  6   -8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7	-8.7
1984  7   2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
1984  8   2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7	2.7
1984  9   2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
1984 10   -5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	-5.0
1984 11   3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9
1984 12   -1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4
1985  1   -3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5	-3.5
1985  2   6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7
1985  3   -2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
1985  4   14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4	14.4
1985  5   2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8
1985  6   -9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6	-9.6
1985  7   -2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3	-2.3
1985  8   8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5	8.5
1985  9   0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2
1985 10   -5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6	-5.6
1985 11   -1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4	-1.4
1985 12   2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1	2.1
1986  1   8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0
1986  2   -10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7	-10.7
1986  3   0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8
